PersonID,OTAZ,DTAZ,Taxi Cost,TaxiTime(s)
30162061,286,286,5.28662358,95.538
30162061,286,286,5.28662358,95.538
30162062,286,107,26.87393793,1404.4
30162062,107,286,26.87393793,1404.4
30163982,1588,104,55.97573054,4277.9
30163982,104,1588,55.97573054,4277.9
30166811,1081,1081,5.885374219,417.05
30166811,1081,157,28.49469077,1974
30166811,157,157,4.983258239,65.817
30166811,157,157,4.983258239,65.817
30166811,157,157,4.983258239,65.817
30166811,157,147,6.800233523,243.83
30166811,147,149,5.061450284,73.476
30166811,149,1080,26.61907145,1676
30166811,1080,1081,7.693441548,516.88
30166811,1081,1082,5.979217045,460.79
30166811,1082,1081,5.979217045,460.79
30169081,29,9,9.205876136,638.97
30169081,9,29,9.205876136,638.97
30169081,29,25,5.368898438,103.6
30169081,25,21,7.272788139,290.13
30169081,21,1256,16.65515313,1015.6
30169081,1256,29,19.1963946,1260.7
30170101,18,76,10.91508991,628.76
30170101,76,18,10.91508991,628.76
30170101,18,9,6.398571378,419.88
30170101,9,18,6.398571378,419.88
30170101,18,162,23.76481435,1331.1
30170101,162,18,23.76481435,1331.1
30170102,18,2,6.726866619,218.04
30170102,2,18,6.726866619,218.04
30170103,18,162,23.76481435,1331.1
30170103,162,18,23.76481435,1331.1
30170103,18,11,5.231814915,308.1
30170103,11,18,5.231814915,308.1
30170104,18,162,23.76481435,1331.1
30170104,162,18,23.76481435,1331.1
30170105,18,1076,12.59894077,742.72
30170105,1076,18,12.59894077,742.72
30171032,551,550,5.786768111,144.54
30171032,550,551,5.786768111,144.54
30171851,742,91,63.01672628,4246.6
30171851,91,91,5.148179119,81.974
30171851,91,742,63.01672628,4246.6
30172791,231,89,25.68930369,1523.3
30172791,89,231,25.68930369,1523.3
30174321,614,584,21.67639389,1123
30174321,584,576,7.886818395,350.28
30174321,576,614,20.80230085,1095.6
30174323,614,619,7.780603409,312.78
30174323,619,614,7.780603409,312.78
30174401,1613,1598,27.99547415,2139.3
30174402,1613,1578,20.16451605,1086.8
30174402,1578,1613,20.16451605,1086.8
30174402,1613,1598,27.99547415,2139.3
30174791,1147,1080,17.4698598,1160.4
30174791,1080,1087,6.636487997,194.59
30174791,1087,1147,16.59391094,1153.2
30177031,391,323,15.27936903,1374.2
30177031,323,391,15.27936903,1374.2
30177032,391,323,15.27936903,1374.2
30177032,323,391,15.27936903,1374.2
30177033,391,323,15.27936903,1374.2
30177033,323,391,15.27936903,1374.2
30177034,391,323,15.27936903,1374.2
30177034,323,391,15.27936903,1374.2
30177171,960,960,15.66290597,1908.9
30177171,960,960,15.66290597,1908.9
30177171,960,862,26.14212472,2546.1
